id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
syrup,0.555516,595415390,9.2008,0.566532,0.495615,0.653229,0.085229,03-07-2025 00-49-17
usual-usd,0.997818,589206753,0.0152,0.998402,0.997453,1.33,0.962885,03-07-2025 00-49-17
saros-finance,0.22428,588893456,2.48149,0.224541,0.2188,0.244821,0.00101093,03-07-2025 00-49-17
pendle,3.54,583210269,4.44489,3.58,3.26,7.5,0.03377729,03-07-2025 00-49-17
walrus-2,0.419111,578735135,8.82357,0.422981,0.380753,0.759179,0.360051,03-07-2025 00-49-17
tezos,0.549797,577052747,6.28563,0.550687,0.514912,9.12,0.350476,03-07-2025 00-49-17
super-oeth,2578.35,573592286,6.36678,2581.9,2381.63,4099.87,1312.97,03-07-2025 00-49-17
tbtc,109477.0,569960513,3.67263,109476.0,105144.0,111782.0,10104.3,03-07-2025 00-49-17
raydium,2.13,569275969,5.39492,2.15,2.01,16.83,0.134391,03-07-2025 00-49-17
mantle-restaked-eth,2743.2,553162966,6.18419,2752.36,2555.37,4298.87,1480.7,03-07-2025 00-49-17
newton-project,0.00836164,550617488,-1.39808,0.00850807,0.0083322,0.01727373,3.8e-06,03-07-2025 00-49-17
l2-standard-bridged-weth-base,2576.48,550123254,6.57274,2583.26,2391.3,4096.05,1394.17,03-07-2025 00-49-17
flow,0.340809,542497215,8.14962,0.341334,0.314301,42.4,0.292024,03-07-2025 00-49-17
cgeth-hashkey-cloud,2681.64,536138355,5.51514,2682.07,2509.82,3129.19,1430.7,03-07-2025 00-49-17
falcon-finance,0.999995,534294373,0.00941,1.0,0.99977,1.075,0.94524,03-07-2025 00-49-17
decentraland,0.275453,528882562,13.7486,0.277966,0.240117,5.85,0.00923681,03-07-2025 00-49-17
coredaoorg,0.522398,525202643,5.86226,0.527305,0.481379,6.14,0.334237,03-07-2025 00-49-17
bitcoin-avalanche-bridged-btc-b,109324.0,516919015,3.38288,109722.0,105289.0,111931.0,7806.11,03-07-2025 00-49-17
chain-2,0.01482045,507799667,4.38768,0.01503439,0.01410818,0.184139,0.0007055,03-07-2025 00-49-17
arbitrum-bridged-weth-arbitrum-one,2577.33,505282318,6.58286,2583.16,2392.6,4097.16,1395.31,03-07-2025 00-49-17
apecoin,0.630744,504251978,8.2594,0.63099,0.573372,26.7,0.354833,03-07-2025 00-49-17
bitcoin-cash-sv,25.22,502508587,-2.79418,26.12,24.11,489.75,21.43,03-07-2025 00-49-17
true-usd,0.999974,494457556,0.21944,1.0,0.996482,1.62,0.88355,03-07-2025 00-49-17
thorchain,1.39,487685798,7.39558,1.39,1.29,20.87,0.00851264,03-07-2025 00-49-17
staked-hype,39.04,469354093,3.64627,39.68,36.86,45.52,9.33,03-07-2025 00-49-17
ripple-usd,0.999871,469239236,-0.01069,1.0,0.9997,1.073,0.962292,03-07-2025 00-49-17
movement,0.172709,449248553,-0.77554,0.17633,0.163297,1.45,0.112218,03-07-2025 00-49-17
bridged-usdc-polygon-pos-bridge,0.999806,442859251,-0.00123,0.999919,0.999795,1.028,0.975633,03-07-2025 00-49-17
kava,0.408703,442476489,3.47333,0.410054,0.394148,9.12,0.247359,03-07-2025 00-49-17
binance-peg-dogecoin,0.171348,439370671,8.32962,0.172322,0.157145,0.480585,0.04955727,03-07-2025 00-49-17
beldex,0.061112,436753230,-1.0319,0.062614,0.060823,0.450785,0.00027519,03-07-2025 00-49-17
usdd,1.001,436174836,0.07443,1.003,0.999494,1.052,0.928067,03-07-2025 00-49-17
apenft,4.39313e-07,435003223,0.34546,4.40155e-07,4.37332e-07,7.53e-06,2.98737e-07,03-07-2025 00-49-17
based-brett,0.04395894,434905316,12.35202,0.04422963,0.03868997,0.234204,0.00084753,03-07-2025 00-49-17
dog-go-to-the-moon-rune,0.00433535,433265793,9.31122,0.0043852,0.00395058,0.0099237,0.00100496,03-07-2025 00-49-17
